cc_token;card_read_type;trans_ts;trans_type;trans_amount;trans_currency;trans_auth_code;trans_auth_date;payment_method;origination;is_pin_entry;is_signed;is_unattended;swipe_type;terminal_id;event_ids;event
093e9be1aaab7853ff435566beb72225d5a49e4ad9c33686a32bf234de960e0f;5;1651485105.0;1;6.79;USD;115552;1651485105.0;5;1;1;0;1;0;tid-X0-5452971D;7dc59a3a-d035-4259-b66b-ad0734c2da80;
093e9be1aaab7853ff435566beb72225d5a49e4ad9c33686a32bf234de960e0f;5;1651551214.0;1;620.87;USD;179785;1651551214.0;8;1;0;0;0;1;tid-W9-864489w;bedc25e6-f3eb-4f12-b3d0-6f863fffc830;
093e9be1aaab7853ff435566beb72225d5a49e4ad9c33686a32bf234de960e0f;5;1651429991.0;1;6.29;USD;472330;1651429991.0;4;1;1;1;0;0;tid-x9-3025911i;d3ac535f-489b-440f-abd7-f50361b0ee09;
093e9be1aaab7853ff435566beb72225d5a49e4ad9c33686a32bf234de960e0f;5;1651512253.0;1;372.45;USD;579124;1651512253.0;8;1;0;0;1;0;tid-u1-764774u;3d4806c2-fb7f-4f5d-9c2c-2e2cc49104d0;
093e9be1aaab7853ff435566beb72225d5a49e4ad9c33686a32bf234de960e0f;5;1651589435.0;1;4,960.90;USD;240480;1651589435.0;9;1;1;0;1;1;tid-S8-3781809I;4d88450f-e8da-4663-b0e5-865031e875ba;
093e9be1aaab7853ff435566beb72225d5a49e4ad9c33686a32bf234de960e0f;5;1651475915.0;1;735.87;USD;592803;1651475915.0;6;1;1;0;0;0;tid-v5-1304114g;531ec56c-95a4-4257-a729-8c6610a37558;
093e9be1aaab7853ff435566beb72225d5a49e4ad9c33686a32bf234de960e0f;5;1651556583.0;1;82,363.00;USD;415793;1651556583.0;7;1;0;1;1;1;tid-Y7-7367887x;1270dee2-a86b-4a6e-9b4f-32afd167533a;
093e9be1aaab7853ff435566beb72225d5a49e4ad9c33686a32bf234de960e0f;5;1651475165.0;1;2.69;USD;492350;1651475165.0;3;1;0;1;0;1;tid-e7-2721003j;1ce80b12-2650-49f6-99ef-1857e9b7ea61;
093e9be1aaab7853ff435566beb72225d5a49e4ad9c33686a32bf234de960e0f;5;1651587969.0;1;7.23;USD;465618;1651587969.0;3;1;1;0;1;1;tid-u1-8405781g;7213516d-6a01-4380-b871-cfde6ee84270;
093e9be1aaab7853ff435566beb72225d5a49e4ad9c33686a32bf234de960e0f;5;1651399667.0;1;229.82;USD;379998;1651399667.0;2;1;1;1;1;1;tid-V1-3204289Z;a911655e-2a39-4d33-8d75-3ac174ab0a38;
898900ef69296102331b74d7c14f29d718d3f0caa922624995e675354893476a;5;1651505375.0;1;62.75;USD;555827;1651505375.0;3;1;1;0;0;1;tid-S9-5975896J;b66b3284-8b7b-4378-8148-3de239422745;
898900ef69296102331b74d7c14f29d718d3f0caa922624995e675354893476a;5;1651346764.0;1;853.14;USD;524455;1651346764.0;11;1;0;1;1;0;tid-t5-1459021r;ebadc128-63fd-417f-a881-e5319535971c;
898900ef69296102331b74d7c14f29d718d3f0caa922624995e675354893476a;5;1651563262.0;1;8,384.87;USD;165822;1651563262.0;10;1;0;0;1;1;tid-F4-604563z;762103b4-ac9e-4032-bd48-68952a933ad3;
898900ef69296102331b74d7c14f29d718d3f0caa922624995e675354893476a;5;1651570718.0;1;9,268.95;USD;506659;1651570718.0;4;1;0;0;0;1;tid-L9-9341326W;8f0846a2-2a71-42ad-b3a6-3fa37d69ceef;
898900ef69296102331b74d7c14f29d718d3f0caa922624995e675354893476a;5;1651451012.0;1;6.00;USD;559882;1651451012.0;3;1;1;0;0;0;tid-H6-3173083H;5981dfa3-0cf2-4923-909f-f47589112f0a;
898900ef69296102331b74d7c14f29d718d3f0caa922624995e675354893476a;5;1651359628.0;1;81.97;USD;246066;1651359628.0;3;1;1;1;1;0;tid-n4-4737539c;c64c47e7-6fbf-4c39-9cae-6d6275697301;
898900ef69296102331b74d7c14f29d718d3f0caa922624995e675354893476a;5;1651466679.0;1;9,547.65;USD;648813;1651466679.0;2;1;0;0;1;1;tid-d1-2452499B;52b42eff-3cc2-49b3-bd59-213e27541f0b;
898900ef69296102331b74d7c14f29d718d3f0caa922624995e675354893476a;5;1651497612.0;1;3.99;USD;969713;1651497612.0;2;1;0;1;0;1;tid-o0-2375450b;cebe24d9-0660-4792-ba9c-0163a0e0bd86;
898900ef69296102331b74d7c14f29d718d3f0caa922624995e675354893476a;5;1651365823.0;1;163.41;USD;726257;1651365823.0;6;1;1;0;1;0;tid-u6-3607673q;fbd2570d-c44f-47a9-8cf5-7e8de9c0d53d;
898900ef69296102331b74d7c14f29d718d3f0caa922624995e675354893476a;5;1651587597.0;1;4.27;USD;248136;1651587597.0;6;1;0;1;0;1;tid-e2-0396833V;eb6992d5-6692-4e3f-985a-9ef05c697a2a;
e4248af2746866eff3d33cfda132d828839897c8172421718e3d91fcedb77add;5;1651541583.0;1;45.21;USD;547476;1651541583.0;3;1;0;0;0;0;tid-L2-7836231f;af334e15-1893-4447-bc7c-6d0a352c006f;
e4248af2746866eff3d33cfda132d828839897c8172421718e3d91fcedb77add;5;1651416188.0;1;5,867.83;USD;726556;1651416188.0;7;1;0;1;0;1;tid-e7-2341825Z;c86342c2-a094-4de3-9dad-6c285d447060;
e4248af2746866eff3d33cfda132d828839897c8172421718e3d91fcedb77add;5;1651499714.0;1;3.69;USD;528304;1651499714.0;2;1;1;0;1;1;tid-N5-9562988C;cfe6bc54-df0f-4886-a1c0-705fdffb54ce;
e4248af2746866eff3d33cfda132d828839897c8172421718e3d91fcedb77add;5;1651506302.0;1;11.61;USD;464909;1651506302.0;3;1;1;0;0;1;tid-m4-3049439x;6c967b0e-74f5-4dd5-9c37-849a4133e4d7;
e4248af2746866eff3d33cfda132d828839897c8172421718e3d91fcedb77add;5;1651534388.0;1;94.74;USD;623649;1651534388.0;4;1;1;1;1;0;tid-u8-2039083x;67913217-437c-4c41-a875-116081ed75e7;
e4248af2746866eff3d33cfda132d828839897c8172421718e3d91fcedb77add;5;1651451090.0;1;854.77;USD;715710;1651451090.0;2;1;1;1;0;0;tid-d4-6294522s;8a30cc31-b08c-4968-957d-b5f77adb78cc;
e4248af2746866eff3d33cfda132d828839897c8172421718e3d91fcedb77add;5;1651524019.0;1;262.96;USD;724462;1651524019.0;10;1;0;1;0;1;tid-j6-9591326j;4e6168c8-d622-4b4f-bbc9-df37d8e7c514;
e4248af2746866eff3d33cfda132d828839897c8172421718e3d91fcedb77add;5;1651339593.0;1;55,516.95;USD;735165;1651339593.0;9;1;1;1;1;1;tid-h5-6724782L;4ec6f18b-2b24-4ed4-bda8-2c982fb5a758;
e4248af2746866eff3d33cfda132d828839897c8172421718e3d91fcedb77add;5;1651360338.0;1;80,391.63;USD;943635;1651360338.0;4;1;0;0;0;1;tid-r3-6023166c;647981b7-041b-4aab-97eb-7c0fde9d9342;
e4248af2746866eff3d33cfda132d828839897c8172421718e3d91fcedb77add;5;1651388092.0;1;693.89;USD;149968;1651388092.0;7;1;0;0;0;0;tid-g6-9412532o;0cd5d8e2-9408-4d7d-b139-71c0a85ab566;
eb3e53869d3a01774f93c93d8987688833b1afbd71271c29ebe6e43d388c195d;5;1651344897.0;1;25,659.22;USD;735494;1651344897.0;9;1;0;1;1;0;tid-G9-7637573w;fff5618b-586c-4130-9d4e-c4d8ca11073d;
eb3e53869d3a01774f93c93d8987688833b1afbd71271c29ebe6e43d388c195d;5;1651378380.0;1;8.85;USD;192491;1651378380.0;4;1;0;1;0;1;tid-Z5-3276283w;e1832ab6-93f0-4032-b072-3c4a65bcf7b6;
eb3e53869d3a01774f93c93d8987688833b1afbd71271c29ebe6e43d388c195d;5;1651426462.0;1;2.77;USD;739479;1651426462.0;9;1;1;0;0;1;tid-C1-5852461J;fc6c3192-7121-498e-b8f9-a0fe739d1696;
eb3e53869d3a01774f93c93d8987688833b1afbd71271c29ebe6e43d388c195d;5;1651493695.0;1;95.65;USD;637725;1651493695.0;2;1;1;0;1;0;tid-t6-3939678N;18d71be4-31c0-4570-a363-a9f3755961a9;
eb3e53869d3a01774f93c93d8987688833b1afbd71271c29ebe6e43d388c195d;5;1651448797.0;1;70.23;USD;932147;1651448797.0;9;1;1;1;0;0;tid-O6-0633224k;60492745-8f22-48c2-9c35-77f5e6a4d5ca;
eb3e53869d3a01774f93c93d8987688833b1afbd71271c29ebe6e43d388c195d;5;1651587041.0;1;9.02;USD;426079;1651587041.0;10;1;1;0;1;1;tid-Q0-1136285P;0caec993-392b-4b92-b328-1b8ef4d325c3;
eb3e53869d3a01774f93c93d8987688833b1afbd71271c29ebe6e43d388c195d;5;1651487359.0;1;31.95;USD;417335;1651487359.0;9;1;0;1;1;1;tid-f6-468866K;6553afc6-0af2-4e97-99ad-f5d6f287d027;
eb3e53869d3a01774f93c93d8987688833b1afbd71271c29ebe6e43d388c195d;5;1651492093.0;1;3,153.72;USD;525331;1651492093.0;11;1;0;1;0;1;tid-U7-1801261g;77ddb456-f69b-4ae6-8099-bc4ccf108ed3;
eb3e53869d3a01774f93c93d8987688833b1afbd71271c29ebe6e43d388c195d;5;1651582018.0;1;702.29;USD;260573;1651582018.0;3;1;1;0;1;1;tid-c3-1803288G;b264d045-e3d4-4d27-a44a-50a2836b4876;
eb3e53869d3a01774f93c93d8987688833b1afbd71271c29ebe6e43d388c195d;5;1651438067.0;1;6.13;USD;212016;1651438067.0;2;1;0;1;1;0;tid-T3-1974454i;4f9318da-a388-46e2-b8c0-e7b66c32e9a4;
ec7adc0fdc90038f2487d42bc6b6cd2c0aed97d931ebd14298950ee3f1d77a25;5;1651524914.0;1;881.58;USD;737354;1651524914.0;3;1;1;0;0;0;tid-u7-3225375L;0320df72-4a66-40ac-8853-ae613e99e2e8;
ec7adc0fdc90038f2487d42bc6b6cd2c0aed97d931ebd14298950ee3f1d77a25;5;1651509677.0;1;96.31;USD;767933;1651509677.0;1;1;0;1;1;1;tid-X8-4305828c;93b3cb9a-1987-484e-b96c-1d88c313bc1f;
ec7adc0fdc90038f2487d42bc6b6cd2c0aed97d931ebd14298950ee3f1d77a25;5;1651572793.0;1;4,934.51;USD;752652;1651572793.0;4;1;1;0;0;1;tid-D5-7806679B;06aec150-87ff-4df0-8ee2-7684dcbf76a6;
ec7adc0fdc90038f2487d42bc6b6cd2c0aed97d931ebd14298950ee3f1d77a25;5;1651354941.0;1;1,006.52;USD;475836;1651354941.0;7;1;1;0;1;0;tid-k4-8111515Q;fc9a02b1-79e3-4e9b-a015-b0f6530f85e5;
ec7adc0fdc90038f2487d42bc6b6cd2c0aed97d931ebd14298950ee3f1d77a25;5;1651541686.0;1;50.32;USD;960526;1651541686.0;9;1;1;0;1;1;tid-l5-1701431n;3f13091d-e7fc-418b-bf36-d149339863c4;
ec7adc0fdc90038f2487d42bc6b6cd2c0aed97d931ebd14298950ee3f1d77a25;5;1651436589.0;1;38,996.80;USD;105727;1651436589.0;1;1;0;1;1;0;tid-B1-5831500J;0e148d5c-d6ac-451f-8715-5a891f8918eb;
ec7adc0fdc90038f2487d42bc6b6cd2c0aed97d931ebd14298950ee3f1d77a25;5;1651515065.0;1;11.61;USD;794219;1651515065.0;2;1;0;0;1;0;tid-y5-3793154x;2ecf2e1b-a963-4e3d-bd00-70ae6f194bd3;
ec7adc0fdc90038f2487d42bc6b6cd2c0aed97d931ebd14298950ee3f1d77a25;5;1651498929.0;1;8,082.06;USD;577386;1651498929.0;1;1;1;1;1;1;tid-z5-177303t;661a191b-08d6-420b-af8d-133555f7f60a;
ec7adc0fdc90038f2487d42bc6b6cd2c0aed97d931ebd14298950ee3f1d77a25;5;1651499803.0;1;5,751.24;USD;284627;1651499803.0;7;1;1;0;1;1;tid-x3-2945133D;2752aa63-0367-4b42-b5f3-2b5017550d1c;
ec7adc0fdc90038f2487d42bc6b6cd2c0aed97d931ebd14298950ee3f1d77a25;5;1651408199.0;1;8.42;USD;904156;1651408199.0;7;1;1;0;0;1;tid-c4-7232742Q;49aae36f-1ed1-48dc-897d-9fc51ac24829;
